"Notes"	"Underlying Cause of death"	"Underlying Cause of death Code"	"State"	"State Code"	"County"	"County Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Marion County, FL"	"12083"	"Medical Facility - Outpatient or ER"	"2"	50	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Marion County, FL"	"12083"	"Decedent's home"	"4"	104	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Marion County, FL"	"12083"	"Other"	"7"	36	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"Medical Facility - Outpatient or ER"	"2"	26	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"Decedent's home"	"4"	61	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"Other"	"7"	21	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Okaloosa County, FL"	"12091"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"Medical Facility - Outpatient or ER"	"2"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"Decedent's home"	"4"	66	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"Other"	"7"	25	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Seminole County, FL"	"12117"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Sumter County, FL"	"12119"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Volusia County, FL"	"12127"	"Decedent's home"	"4"	27	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Florida"	"12"	"Volusia County, FL"	"12127"	"Other"	"7"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Georgia"	"13"	"Clayton County, GA"	"13063"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Georgia"	"13"	"Fulton County, GA"	"13121"	"Medical Facility - Outpatient or ER"	"2"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Georgia"	"13"	"Fulton County, GA"	"13121"	"Decedent's home"	"4"	48	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Georgia"	"13"	"Fulton County, GA"	"13121"	"Other"	"7"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Georgia"	"13"	"Gwinnett County, GA"	"13135"	"Other"	"7"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Hawaii"	"15"	"Hawaii County, HI"	"15001"	"Medical Facility - Dead on Arrival"	"3"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Hawaii"	"15"	"Honolulu County, HI"	"15003"	"Decedent's home"	"4"	30	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Idaho"	"16"	"Kootenai County, ID"	"16055"	"Decedent's home"	"4"	19	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Illinois"	"17"	"Cook County, IL"	"17031"	"Medical Facility - Inpatient"	"1"	27	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Illinois"	"17"	"Cook County, IL"	"17031"	"Medical Facility - Outpatient or ER"	"2"	25	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Illinois"	"17"	"Cook County, IL"	"17031"	"Decedent's home"	"4"	110	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Illinois"	"17"	"Cook County, IL"	"17031"	"Other"	"7"	39	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Indiana"	"18"	"Clark County, IN"	"18019"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Kansas"	"20"	"Sedgwick County, KS"	"20173"	"Decedent's home"	"4"	26	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Kentucky"	"21"	"Campbell County, KY"	"21037"	"Decedent's home"	"4"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Kentucky"	"21"	"Kenton County, KY"	"21117"	"Decedent's home"	"4"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Kentucky"	"21"	"Kenton County, KY"	"21117"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Louisiana"	"22"	"Jefferson Parish, LA"	"22051"	"Medical Facility - Inpatient"	"1"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Louisiana"	"22"	"Jefferson Parish, LA"	"22051"	"Medical Facility - Outpatient or ER"	"2"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Louisiana"	"22"	"Jefferson Parish, LA"	"22051"	"Decedent's home"	"4"	128	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Louisiana"	"22"	"Jefferson Parish, LA"	"22051"	"Other"	"7"	26	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Massachusetts"	"25"	"Essex County, MA"	"25009"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"Decedent's home"	"4"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Michigan"	"26"	"Calhoun County, MI"	"26025"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Michigan"	"26"	"Kalamazoo County, MI"	"26077"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Medical Facility - Outpatient or ER"	"2"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Decedent's home"	"4"	21	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Other"	"7"	19	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Minnesota"	"27"	"Hennepin County, MN"	"27053"	"Decedent's home"	"4"	23	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Minnesota"	"27"	"Hennepin County, MN"	"27053"	"Other"	"7"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Minnesota"	"27"	"Ramsey County, MN"	"27123"	"Decedent's home"	"4"	43	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Missouri"	"29"	"Franklin County, MO"	"29071"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Missouri"	"29"	"Greene County, MO"	"29077"	"Decedent's home"	"4"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Missouri"	"29"	"Jackson County, MO"	"29095"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Missouri"	"29"	"Jefferson County, MO"	"29099"	"Decedent's home"	"4"	52	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Missouri"	"29"	"Jefferson County, MO"	"29099"	"Other"	"7"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Missouri"	"29"	"St. Charles County, MO"	"29183"	"Medical Facility - Outpatient or ER"	"2"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Missouri"	"29"	"St. Charles County, MO"	"29183"	"Decedent's home"	"4"	36	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Missouri"	"29"	"St. Louis County, MO"	"29189"	"Medical Facility - Outpatient or ER"	"2"	22	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Missouri"	"29"	"St. Louis County, MO"	"29189"	"Decedent's home"	"4"	68	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Missouri"	"29"	"St. Louis County, MO"	"29189"	"Other"	"7"	33	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Missouri"	"29"	"St. Louis city, MO"	"29510"	"Medical Facility - Outpatient or ER"	"2"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Missouri"	"29"	"St. Louis city, MO"	"29510"	"Decedent's home"	"4"	25	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Nevada"	"32"	"Clark County, NV"	"32003"	"Decedent's home"	"4"	22	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Nevada"	"32"	"Washoe County, NV"	"32031"	"Decedent's home"	"4"	22	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"New Jersey"	"34"	"Essex County, NJ"	"34013"	"Decedent's home"	"4"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"New Jersey"	"34"	"Mercer County, NJ"	"34021"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"New Jersey"	"34"	"Monmouth County, NJ"	"34025"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"New York"	"36"	"Suffolk County, NY"	"36103"	"Medical Facility - Outpatient or ER"	"2"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"New York"	"36"	"Suffolk County, NY"	"36103"	"Decedent's home"	"4"	22	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"North Carolina"	"37"	"Buncombe County, NC"	"37021"	"Decedent's home"	"4"	22	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"North Carolina"	"37"	"Burke County, NC"	"37023"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"North Carolina"	"37"	"Caldwell County, NC"	"37027"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"North Carolina"	"37"	"Cumberland County, NC"	"37051"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"North Carolina"	"37"	"Davidson County, NC"	"37057"	"Decedent's home"	"4"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"North Carolina"	"37"	"Gaston County, NC"	"37071"	"Medical Facility - Outpatient or ER"	"2"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"North Carolina"	"37"	"Gaston County, NC"	"37071"	"Decedent's home"	"4"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"North Carolina"	"37"	"Guilford County, NC"	"37081"	"Decedent's home"	"4"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"North Carolina"	"37"	"Rowan County, NC"	"37159"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"North Carolina"	"37"	"Wake County, NC"	"37183"	"Decedent's home"	"4"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"North Carolina"	"37"	"Wake County, NC"	"37183"	"Other"	"7"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Ohio"	"39"	"Hamilton County, OH"	"39061"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Ohio"	"39"	"Licking County, OH"	"39089"	"Decedent's home"	"4"	21	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Ohio"	"39"	"Stark County, OH"	"39151"	"Medical Facility - Outpatient or ER"	"2"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Ohio"	"39"	"Stark County, OH"	"39151"	"Decedent's home"	"4"	20	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Ohio"	"39"	"Summit County, OH"	"39153"	"Medical Facility - Outpatient or ER"	"2"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Ohio"	"39"	"Summit County, OH"	"39153"	"Decedent's home"	"4"	45	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Ohio"	"39"	"Summit County, OH"	"39153"	"Other"	"7"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Oregon"	"41"	"Lane County, OR"	"41039"	"Decedent's home"	"4"	30	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Oregon"	"41"	"Lane County, OR"	"41039"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"Medical Facility - Inpatient"	"1"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"Decedent's home"	"4"	31	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"Other"	"7"	24	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Oregon"	"41"	"Washington County, OR"	"41067"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Pennsylvania"	"42"	"Luzerne County, PA"	"42079"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Pennsylvania"	"42"	"York County, PA"	"42133"	"Decedent's home"	"4"	19	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"South Carolina"	"45"	"Greenville County, SC"	"45045"	"Decedent's home"	"4"	137	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"South Carolina"	"45"	"Greenville County, SC"	"45045"	"Other"	"7"	32	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Tennessee"	"47"	"Hamblen County, TN"	"47063"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Tennessee"	"47"	"Shelby County, TN"	"47157"	"Decedent's home"	"4"	45	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Tennessee"	"47"	"Shelby County, TN"	"47157"	"Other"	"7"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Texas"	"48"	"Bexar County, TX"	"48029"	"Decedent's home"	"4"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Texas"	"48"	"Bexar County, TX"	"48029"	"Other"	"7"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Texas"	"48"	"Brazoria County, TX"	"48039"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Texas"	"48"	"Galveston County, TX"	"48167"	"Decedent's home"	"4"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Utah"	"49"	"Salt Lake County, UT"	"49035"	"Medical Facility - Inpatient"	"1"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Utah"	"49"	"Salt Lake County, UT"	"49035"	"Decedent's home"	"4"	32	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Utah"	"49"	"Salt Lake County, UT"	"49035"	"Other"	"7"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Utah"	"49"	"Utah County, UT"	"49049"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Virginia"	"51"	"Chesterfield County, VA"	"51041"	"Decedent's home"	"4"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Virginia"	"51"	"Henrico County, VA"	"51087"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Washington"	"53"	"Pierce County, WA"	"53053"	"Decedent's home"	"4"	30	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Washington"	"53"	"Spokane County, WA"	"53063"	"Medical Facility - Inpatient"	"1"	26	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Washington"	"53"	"Spokane County, WA"	"53063"	"Medical Facility - Outpatient or ER"	"2"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Washington"	"53"	"Spokane County, WA"	"53063"	"Decedent's home"	"4"	203	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Washington"	"53"	"Spokane County, WA"	"53063"	"Other"	"7"	46	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Washington"	"53"	"Whatcom County, WA"	"53073"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Berkeley County, WV"	"54003"	"Medical Facility - Outpatient or ER"	"2"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Berkeley County, WV"	"54003"	"Decedent's home"	"4"	48	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Berkeley County, WV"	"54003"	"Other"	"7"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Boone County, WV"	"54005"	"Decedent's home"	"4"	29	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Boone County, WV"	"54005"	"Other"	"7"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Brooke County, WV"	"54009"	"Decedent's home"	"4"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Cabell County, WV"	"54011"	"Medical Facility - Inpatient"	"1"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Cabell County, WV"	"54011"	"Medical Facility - Outpatient or ER"	"2"	21	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Cabell County, WV"	"54011"	"Decedent's home"	"4"	88	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Cabell County, WV"	"54011"	"Other"	"7"	28	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Fayette County, WV"	"54019"	"Medical Facility - Outpatient or ER"	"2"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Fayette County, WV"	"54019"	"Decedent's home"	"4"	25	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Fayette County, WV"	"54019"	"Other"	"7"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Greenbrier County, WV"	"54025"	"Decedent's home"	"4"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Hancock County, WV"	"54029"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Harrison County, WV"	"54033"	"Decedent's home"	"4"	28	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Harrison County, WV"	"54033"	"Other"	"7"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Jefferson County, WV"	"54037"	"Medical Facility - Outpatient or ER"	"2"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Jefferson County, WV"	"54037"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Kanawha County, WV"	"54039"	"Medical Facility - Inpatient"	"1"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Kanawha County, WV"	"54039"	"Medical Facility - Outpatient or ER"	"2"	35	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Kanawha County, WV"	"54039"	"Decedent's home"	"4"	146	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Kanawha County, WV"	"54039"	"Other"	"7"	54	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Lincoln County, WV"	"54043"	"Decedent's home"	"4"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Lincoln County, WV"	"54043"	"Other"	"7"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Logan County, WV"	"54045"	"Medical Facility - Outpatient or ER"	"2"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"West Virginia"	"54"	"Logan County, WV"	"54045"	"Decedent's home"	"4"	19	Not Applicable	Not Applicable
